target_id	length	eff_length	est_counts	tpm
SOAP.k35.scaffold106	7265	7047.77	215.244	3.21626
SOAP.k35.scaffold122	4067	3849.77	108	2.95435
SOAP.k35.scaffold175	4010	3792.77	29	0.80522
SOAP.k35.scaffold280	4109	3891.77	4452	120.471
SOAP.k35.scaffold421	2148	1930.77	1	0.0545435
SOAP.k35.scaffold429	5119	4901.77	523.578	11.2487
SOAP.k35.scaffold503	5658	5440.77	452	8.74885
SOAP.k35.scaffold548	1432	1214.77	9	0.78023
SOAP.k35.scaffold599	9939	9721.77	5356	58.0187
SOAP.k35.scaffold700	4768	4550.77	2740	63.4072
SOAP.k35.scaffold874	2524	2306.77	10	0.45653
SOAP.k35.scaffold912	2862	2644.77	1137	45.2737
SOAP.k35.scaffold1384	5546	5328.77	3	0.0592881
SOAP.k35.scaffold1794	8063	7845.77	163700	2197.29
SOAP.k35.scaffold1839	2304	2086.77	2.1202	0.106998
SOAP.k35.scaffold2305	726	509.752	91	18.7999
SOAP.k35.scaffold2387	249	86.914	0	0
SOAP.k35.scaffold2446	5402	5184.77	22	0.446855
SOAP.k35.scaffold2718	3759	3541.77	41	1.21909
SOAP.k35.scaffold2779	651	435.92	0	0
SOAP.k35.scaffold2855	5016	4798.77	2.25116	0.0494025
SOAP.k35.scaffold2860	1450	1232.77	1	0.0854264
SOAP.k35.scaffold2964	3622	3404.77	5	0.154652
SOAP.k35.scaffold3525	2790	2572.77	236	9.66016
SOAP.k35.scaffold3799	8483	8265.77	1395	17.7731
SOAP.k35.scaffold3887	1559	1341.77	843	66.1643
SOAP.k35.scaffold3972	4636	4418.77	14	0.333657
SOAP.k35.scaffold3985	3707	3489.77	2	0.060354
SOAP.k35.scaffold4079	9072	8854.77	12988	154.468
SOAP.k35.scaffold4083	5616	5398.77	7	0.136545
SOAP.k35.scaffold4098	3033	2815.77	8.05006	0.301075
SOAP.k35.scaffold4146	1512	1294.77	0	0
SOAP.k35.scaffold4373	3129	2911.77	0	0
SOAP.k35.scaffold4534	3258	3040.77	4.0011	0.13857
SOAP.k35.scaffold4811	2368	2150.77	27	1.32204
SOAP.k35.scaffold4849	3668	3450.77	5	0.15259
SOAP.k35.scaffold4910	5377	5159.77	704	14.3686
