target_id	length	eff_length	est_counts	tpm
SOAP.k35.scaffold106	7265	7054.69	151.944	2.27505
SOAP.k35.scaffold122	4067	3856.69	79	2.16371
SOAP.k35.scaffold175	4010	3799.69	162	4.50354
SOAP.k35.scaffold280	4109	3898.69	5010	135.739
SOAP.k35.scaffold421	2148	1937.69	3	0.16354
SOAP.k35.scaffold429	5119	4908.69	321.301	6.91405
SOAP.k35.scaffold503	5658	5447.69	264	5.11892
SOAP.k35.scaffold548	1432	1221.69	2	0.172924
SOAP.k35.scaffold599	9939	9728.69	3127	33.9516
SOAP.k35.scaffold700	4768	4557.69	2596	60.1654
SOAP.k35.scaffold874	2524	2313.69	7	0.31958
SOAP.k35.scaffold912	2862	2651.69	734.865	29.2733
SOAP.k35.scaffold1384	5546	5335.69	2	0.0395937
SOAP.k35.scaffold1794	8063	7852.69	237155	3190.07
SOAP.k35.scaffold1839	2304	2093.69	3.96957	0.200271
SOAP.k35.scaffold2305	726	516.461	0	0
SOAP.k35.scaffold2387	249	89.3585	1	1.18209
SOAP.k35.scaffold2446	5402	5191.69	10	0.20346
SOAP.k35.scaffold2718	3759	3548.69	177	5.26856
SOAP.k35.scaffold2779	651	442.36	0	0
SOAP.k35.scaffold2855	5016	4805.69	2	0.0439603
SOAP.k35.scaffold2860	1450	1239.69	0	0
SOAP.k35.scaffold2964	3622	3411.69	12	0.371534
SOAP.k35.scaffold3525	2790	2579.69	199	8.1484
SOAP.k35.scaffold3799	8483	8272.69	2436	31.1041
SOAP.k35.scaffold3887	1559	1348.69	618	48.402
SOAP.k35.scaffold3972	4636	4425.69	14	0.334144
SOAP.k35.scaffold3985	3707	3496.69	3	0.0906256
SOAP.k35.scaffold4079	9072	8861.69	12578	149.928
SOAP.k35.scaffold4083	5616	5405.69	6	0.117243
SOAP.k35.scaffold4098	3033	2822.69	9	0.336795
SOAP.k35.scaffold4146	1512	1301.69	5	0.405742
SOAP.k35.scaffold4373	3129	2918.69	2	0.0723817
SOAP.k35.scaffold4534	3258	3047.69	2	0.069318
SOAP.k35.scaffold4811	2368	2157.69	13	0.636416
SOAP.k35.scaffold4849	3668	3457.69	5	0.152746
SOAP.k35.scaffold4910	5377	5166.69	910	18.6044
SOAP.k35.scaffold5014	5826	5615.69	1161	21.8382
SOAP.k35.scaffold5134	443	245.726	0	0
SOAP.k35.scaffold5534	1511	1300.69	11	0.893318
SOAP.k35.scaffold5571	7426	7215.69	1676	24.5348
SOAP.k35.scaffold5849	4242	4031.69	393	10.2966
SOAP.k35.scaffold5953	2500	2289.69	9	0.415196
SOAP.k35.scaffold6259	8587	8376.69	310	3.90909
SOAP.k35.scaffold6465	4018	3807.69	31	0.859977
SOAP.k35.scaffold6507	4024	3813.69	3392.35	93.9598
SOAP.k35.scaffold7058	1598	1387.69	29	2.20746
SOAP.k35.scaffold7548	344	160.912	0	0
SOAP.k35.scaffold7872	9319	9108.69	2	0.0231932
SOAP.k35.scaffold7953	5413	5202.69	0	0
SOAP.k35.scaffold8120	1224	1013.69	240	25.0088
SOAP.k35.scaffold8450	4223	4012.69	692	18.2162
SOAP.k35.scaffold8704	416	221.613	0	0
SOAP.k35.scaffold8745	4620	4409.69	375.981	9.00628
SOAP.k35.scaffold8795	11268	11057.7	144.635	1.38165
SOAP.k35.scaffold8849	2507	2296.69	465	21.3864
SOAP.k35.scaffold8991	1905	1694.69	0	0
SOAP.k35.scaffold9115	1869	1658.69	357	22.7347
SOAP.k35.scaffold9247	5067	4856.69	10006.7	217.639
SOAP.k35.scaffold9271	348	164.26	5	3.21534
SOAP.k35.scaffold9807	2753	2542.69	1940	80.5926
SOAP.k35.scaffold9912	1407	1196.69	0	0
SOAP.k35.scaffold9927	927	716.763	0	0
SOAP.k35.scaffold9991	1206	995.689	1312	139.186
SOAP.k35.scaffold10050	1074	863.689	294	35.9564
SOAP.k35.scaffold10108	5156	4945.69	45	0.961109
SOAP.k35.scaffold10324	1164	953.689	0	0
SOAP.k35.scaffold10325	2571	2360.69	0	0
SOAP.k35.scaffold10364	2960	2749.69	800	30.7322
SOAP.k35.scaffold10526	1558	1347.69	20	1.56757
SOAP.k35.scaffold10662	319	141.105	0	0
SOAP.k35.scaffold10664	295	122.853	0	0
SOAP.k35.scaffold10806	4896	4685.69	130.111	2.93311
SOAP.k35.scaffold10985	4195	3984.69	5	0.132545
SOAP.k35.scaffold11282	2912	2701.69	966	37.7684
SOAP.k35.scaffold11314	2092	1881.69	0	0
SOAP.k35.scaffold11417	1629	1418.69	39673	2953.89
SOAP.k35.scaffold11465	2982	2771.69	10	0.381103
SOAP.k35.scaffold11619	3380	3169.69	286	9.53095
SOAP.k35.scaffold11797	3219	3008.69	548	19.2393
SOAP.k35.scaffold11836	2496	2285.69	3039	140.443
SOAP.k35.scaffold11951	3737	3526.69	840.766	25.1823
SOAP.k35.scaffold12072	433	236.857	357	159.209
SOAP.k35.scaffold12084	1151	940.689	656	73.6622
SOAP.k35.scaffold12282	4077	3866.69	2450.62	66.9457
SOAP.k35.scaffold12348	7078	6867.69	14	0.21533
SOAP.k35.scaffold12509	1188	977.689	0	0
SOAP.k35.scaffold12730	2402	2191.69	1143	55.0876
SOAP.k35.scaffold12807	732	522.41	0	0
SOAP.k35.scaffold12869	2760	2549.69	1	0.0414285
SOAP.k35.scaffold12878	3306	3095.69	449	15.3206
SOAP.k35.scaffold13135	5341	5130.69	18	0.370581
SOAP.k35.scaffold13170	1774	1563.69	269	18.1714
SOAP.k35.scaffold13312	2574	2363.69	3	0.134066
SOAP.k35.scaffold13498	3713	3502.69	1896	57.1773
SOAP.k35.scaffold13553	2647	2436.69	1	0.0433498
