target_id	length	eff_length	est_counts	tpm
SOAP.k35.scaffold106	7265	7055.81	148.64	2.26247
SOAP.k35.scaffold122	4067	3857.81	244	6.79271
SOAP.k35.scaffold175	4010	3800.81	121	3.41903
SOAP.k35.scaffold280	4109	3899.81	4591	126.432
SOAP.k35.scaffold421	2148	1938.81	0	0
SOAP.k35.scaffold429	5119	4909.81	433.837	9.48978
SOAP.k35.scaffold503	5658	5448.81	378	7.45048
SOAP.k35.scaffold548	1432	1222.81	3	0.263485
SOAP.k35.scaffold599	9939	9729.81	4037	44.5603
SOAP.k35.scaffold700	4768	4558.81	2394	56.3984
SOAP.k35.scaffold874	2524	2314.81	5	0.231979
SOAP.k35.scaffold912	2862	2652.81	1005	40.6868
SOAP.k35.scaffold1384	5546	5336.81	3	0.0603717
SOAP.k35.scaffold1794	8063	7853.81	232266	3176.14
SOAP.k35.scaffold1839	2304	2094.81	16	0.820293
SOAP.k35.scaffold2305	726	517.883	60	12.4427
SOAP.k35.scaffold2387	249	88.6988	0	0
SOAP.k35.scaffold2446	5402	5192.81	7	0.144774
SOAP.k35.scaffold2718	3759	3549.81	147	4.4474
SOAP.k35.scaffold2779	651	444.216	0	0
SOAP.k35.scaffold2855	5016	4806.81	6	0.134057
SOAP.k35.scaffold2860	1450	1240.81	0	0
SOAP.k35.scaffold2964	3622	3412.81	8	0.251751
SOAP.k35.scaffold3525	2790	2580.81	210	8.7389
SOAP.k35.scaffold3799	8483	8273.81	2959	38.409
SOAP.k35.scaffold3887	1559	1349.81	715	56.8888
SOAP.k35.scaffold3972	4636	4426.81	19	0.460953
SOAP.k35.scaffold3985	3707	3497.81	2	0.0614084
SOAP.k35.scaffold4079	9072	8862.81	13339	161.639
SOAP.k35.scaffold4083	5616	5406.81	8	0.158907
SOAP.k35.scaffold4098	3033	2823.81	6	0.228197
SOAP.k35.scaffold4146	1512	1302.81	0	0
SOAP.k35.scaffold4373	3129	2919.81	4	0.147129
SOAP.k35.scaffold4534	3258	3048.81	5.00171	0.17619
SOAP.k35.scaffold4811	2368	2158.81	19	0.94522
SOAP.k35.scaffold4849	3668	3458.81	4	0.124202
SOAP.k35.scaffold4910	5377	5167.81	1630	33.8747
SOAP.k35.scaffold5014	5826	5616.81	1729	33.0597
SOAP.k35.scaffold5134	443	247.244	0	0
SOAP.k35.scaffold5534	1511	1301.81	13	1.07248
SOAP.k35.scaffold5571	7426	7216.81	1214	18.0662
SOAP.k35.scaffold5849	4242	4032.81	588	15.659
