target_id	length	eff_length	est_counts	tpm
SOAP.k35.scaffold106	7265	7048.78	136.688	1.98944
SOAP.k35.scaffold122	4067	3850.78	129	3.43681
SOAP.k35.scaffold175	4010	3793.78	100	2.70422
SOAP.k35.scaffold280	4109	3892.78	4769	125.685
SOAP.k35.scaffold421	2148	1931.78	5	0.265538
SOAP.k35.scaffold429	5119	4902.78	354.492	7.41785
SOAP.k35.scaffold503	5658	5441.78	437	8.23863
SOAP.k35.scaffold548	1432	1215.78	3	0.253151
SOAP.k35.scaffold599	9939	9722.78	3354	35.3905
SOAP.k35.scaffold700	4768	4551.78	4043	91.1248
SOAP.k35.scaffold874	2524	2307.78	7	0.311184
SOAP.k35.scaffold912	2862	2645.78	436.723	16.9343
SOAP.k35.scaffold1384	5546	5329.78	1	0.0192489
SOAP.k35.scaffold1794	8063	7846.78	161477	2111.23
SOAP.k35.scaffold1839	2304	2087.78	18.2042	0.894542
SOAP.k35.scaffold2305	726	510.724	1	0.200876
SOAP.k35.scaffold2387	249	88.1781	0	0
SOAP.k35.scaffold2446	5402	5185.78	7	0.138484
SOAP.k35.scaffold2718	3759	3542.78	151	4.37267
SOAP.k35.scaffold2779	651	436.524	0	0
SOAP.k35.scaffold2855	5016	4799.78	11	0.235118
SOAP.k35.scaffold2860	1450	1233.78	0	0
SOAP.k35.scaffold2964	3622	3405.78	4	0.120492
SOAP.k35.scaffold3525	2790	2573.78	249	9.92526
SOAP.k35.scaffold3799	8483	8266.78	1853	22.9961
SOAP.k35.scaffold3887	1559	1342.78	655	50.0438
SOAP.k35.scaffold3972	4636	4419.78	23	0.533877
SOAP.k35.scaffold3985	3707	3490.78	2	0.0587789
SOAP.k35.scaffold4079	9072	8855.78	10227	118.477
SOAP.k35.scaffold4083	5616	5399.78	8	0.151995
SOAP.k35.scaffold4098	3033	2816.78	1.00825	0.0367223
SOAP.k35.scaffold4146	1512	1295.78	1	0.079174
SOAP.k35.scaffold4373	3129	2912.78	1	0.0352214
SOAP.k35.scaffold4534	3258	3041.78	1.00029	0.0337374
SOAP.k35.scaffold4811	2368	2151.78	13	0.619811
SOAP.k35.scaffold4849	3668	3451.78	7	0.208051
SOAP.k35.scaffold4910	5377	5160.78	1032	20.5153
SOAP.k35.scaffold5014	5826	5609.78	2189	40.0326
SOAP.k35.scaffold5134	443	241.633	0	0
SOAP.k35.scaffold5534	1511	1294.78	8	0.633881
SOAP.k35.scaffold5571	7426	7209.78	937	13.3331
SOAP.k35.scaffold5849	4242	4025.78	274	6.98256
SOAP.k35.scaffold5953	2500	2283.78	13	0.583987
SOAP.k35.scaffold6259	8587	8370.78	429	5.25782
SOAP.k35.scaffold6465	4018	3801.78	27	0.728603
SOAP.k35.scaffold6507	4024	3807.78	4445.27	119.768
SOAP.k35.scaffold7058	1598	1381.78	19	1.41068
SOAP.k35.scaffold7548	344	157.993	0	0
SOAP.k35.scaffold7872	9319	9102.78	2	0.0225409
SOAP.k35.scaffold7953	5413	5196.78	5692.32	112.375
SOAP.k35.scaffold8120	1224	1007.78	215	21.887
SOAP.k35.scaffold8450	4223	4006.78	1120	28.6772
SOAP.k35.scaffold8704	416	217.889	1	0.470846
SOAP.k35.scaffold8745	4620	4403.78	273.979	6.38272
SOAP.k35.scaffold8795	11268	11051.8	714.394	6.63163
SOAP.k35.scaffold8849	2507	2290.78	538	24.0942
SOAP.k35.scaffold8991	1905	1688.78	0	0
SOAP.k35.scaffold9115	1869	1652.78	177	10.9868
SOAP.k35.scaffold9247	5067	4850.78	11447.6	242.113
SOAP.k35.scaffold9271	348	161.273	0	0
SOAP.k35.scaffold9807	2753	2536.78	1269	51.3207
SOAP.k35.scaffold9912	1407	1190.78	0	0
SOAP.k35.scaffold9927	927	710.855	2	0.288645
SOAP.k35.scaffold9991	1206	989.781	1452	150.502
SOAP.k35.scaffold10050	1074	857.781	373	44.6115
SOAP.k35.scaffold10108	5156	4939.78	108	2.24301
SOAP.k35.scaffold10324	1164	947.781	0	0
SOAP.k35.scaffold10325	2571	2354.78	1	0.0435676
SOAP.k35.scaffold10364	2960	2743.78	876	32.7544
SOAP.k35.scaffold10526	1558	1341.78	16	1.22336
SOAP.k35.scaffold10662	319	138.627	0	0
SOAP.k35.scaffold10664	295	120.504	2	1.70272
SOAP.k35.scaffold10806	4896	4679.78	153.623	3.36779
SOAP.k35.scaffold10985	4195	3978.78	0	0
SOAP.k35.scaffold11282	2912	2695.78	933	35.5068
SOAP.k35.scaffold11314	2092	1875.78	2	0.109386
SOAP.k35.scaffold11417	1629	1412.78	36537	2653.21
SOAP.k35.scaffold11465	2982	2765.78	4	0.148374
